OrderID,Region,Product,Segment,Channel,Revenue,Cost,Units
1001,NSW,Alpha,Enterprise,Direct,120000,72000,120
1002,NSW,Beta,SMB,Partner,78000,49000,95
1003,VIC,Alpha,Enterprise,Direct,98000,61000,100
1004,VIC,Gamma,SMB,Online,54000,35000,70
1005,QLD,Alpha,SMB,Partner,68000,43000,82
1006,QLD,Beta,Enterprise,Direct,88000,56000,90
1007,WA,Gamma,SMB,Online,46000,30000,60
1008,WA,Alpha,Enterprise,Direct,76000,47000,78
1009,NSW,Gamma,SMB,Online,62000,39000,75
1010,VIC,Beta,Enterprise,Partner,84000,52000,86
1011,QLD,Gamma,SMB,Online,50000,33000,64
1012,WA,Beta,Enterprise,Partner,72000,45000,74
